Power,Current,Voltage,Shunt,Freq,Util,WorkMode
200.24,39.0,4.97,4.13,240,25,noop_test.csv
195.37,40.9,4.97,3.9,240,25,noop_test.csv
202.93,39.1,4.98,4.15,240,25,noop_test.csv
194.15,39.7,4.98,3.9,240,25,noop_test.csv
203.41,39.4,4.97,4.13,240,25,noop_test.csv
194.15,40.2,4.98,3.9,240,25,noop_test.csv
204.15,39.7,4.98,4.19,240,25,noop_test.csv
193.9,39.79,4.98,3.89,240,25,noop_test.csv
203.9,40.0,4.97,4.16,240,25,noop_test.csv
193.9,39.4,4.97,3.9,240,25,noop_test.csv
204.15,40.6,4.97,4.16,240,25,noop_test.csv
193.9,39.2,4.98,3.9,240,25,noop_test.csv
203.9,40.79,4.98,4.14,240,25,noop_test.csv
193.9,39.1,4.97,3.9,240,25,noop_test.csv
205.12,41.1,4.98,4.12,240,25,noop_test.csv
193.9,39.0,4.98,3.89,240,25,noop_test.csv
205.85,40.9,4.97,4.04,240,25,noop_test.csv
193.9,39.0,4.98,3.9,240,25,noop_test.csv
205.12,41.6,4.98,4.0,240,25,noop_test.csv
197.8,39.0,4.98,3.92,240,25,noop_test.csv
208.29,41.5,4.97,3.96,240,25,noop_test.csv
196.59,38.9,4.97,3.94,240,25,noop_test.csv
207.07,41.5,4.98,3.93,240,25,noop_test.csv
193.41,39.0,4.98,3.98,240,25,noop_test.csv
203.41,41.1,4.98,3.91,240,25,noop_test.csv
193.9,39.0,4.97,4.02,240,25,noop_test.csv
203.41,41.4,4.97,3.9,240,25,noop_test.csv
194.15,41.4,4.98,4.06,240,25,noop_test.csv
202.2,41.6,4.97,3.9,240,25,noop_test.csv
195.12,39.6,4.98,4.09,240,25,noop_test.csv
199.76,41.79,4.97,3.9,240,25,noop_test.csv
194.15,38.9,4.98,4.09,240,25,noop_test.csv
197.32,40.79,4.98,3.9,240,25,noop_test.csv
198.29,39.0,4.97,4.09,240,25,noop_test.csv
195.85,40.9,4.97,3.89,240,25,noop_test.csv
197.07,39.1,4.98,4.15,240,25,noop_test.csv
194.15,40.9,4.97,3.9,240,25,noop_test.csv
202.93,39.2,4.98,4.13,240,25,noop_test.csv
193.9,40.4,4.97,3.9,240,25,noop_test.csv
200.49,39.5,4.98,4.18,240,25,noop_test.csv
193.9,39.9,4.98,3.9,240,25,noop_test.csv
203.41,39.9,4.97,4.18,240,25,noop_test.csv
193.41,39.0,4.97,3.9,240,25,noop_test.csv
204.15,40.9,4.97,4.15,240,25,noop_test.csv
193.9,39.0,4.97,3.9,240,25,noop_test.csv
207.8,40.9,4.98,4.1,240,25,noop_test.csv
193.9,39.0,4.98,3.9,240,25,noop_test.csv
206.1,41.5,4.97,4.01,240,25,noop_test.csv
197.8,39.0,4.98,3.92,240,25,noop_test.csv
204.63,41.79,4.98,3.96,240,25,noop_test.csv
193.9,38.9,4.98,3.94,240,25,noop_test.csv
216.1,42.0,4.98,3.93,240,25,noop_test.csv
197.8,39.0,4.98,3.96,240,25,noop_test.csv
207.32,42.1,4.98,3.91,240,25,noop_test.csv
197.07,38.9,4.98,4.01,240,25,noop_test.csv
203.41,41.4,4.98,3.94,240,25,noop_test.csv
193.9,39.7,4.98,4.05,240,25,noop_test.csv
202.68,41.2,4.98,3.92,240,25,noop_test.csv
193.9,39.6,4.98,4.08,240,25,noop_test.csv
200.24,41.7,4.98,3.9,240,25,noop_test.csv
194.15,39.0,4.98,4.09,240,25,noop_test.csv
197.8,41.6,4.97,3.89,240,25,noop_test.csv
194.63,39.0,4.98,4.09,240,25,noop_test.csv
196.1,40.79,4.97,3.9,240,25,noop_test.csv
196.1,39.1,4.98,4.12,240,25,noop_test.csv
194.63,40.9,4.97,3.9,240,25,noop_test.csv
198.29,39.2,4.98,4.14,240,25,noop_test.csv
194.15,40.4,4.97,3.9,240,25,noop_test.csv
200.24,39.4,4.98,4.17,240,25,noop_test.csv
193.9,40.0,4.98,3.89,240,25,noop_test.csv
202.2,39.79,4.98,4.22,240,25,noop_test.csv
193.9,39.5,4.97,3.9,240,25,noop_test.csv
203.41,40.1,4.97,4.18,240,25,noop_test.csv
194.15,39.29,4.98,3.89,240,25,noop_test.csv
208.29,40.9,4.98,4.12,240,25,noop_test.csv
193.9,39.0,4.97,3.96,240,25,noop_test.csv
209.02,40.9,4.98,4.09,240,25,noop_test.csv
193.9,39.0,4.97,3.9,240,25,noop_test.csv
209.51,41.4,4.98,4.07,240,25,noop_test.csv
193.9,39.0,4.98,3.91,240,25,noop_test.csv
205.85,41.5,4.98,4.08,240,25,noop_test.csv
193.9,38.9,4.98,3.91,240,25,noop_test.csv
204.63,41.79,4.98,4.07,240,25,noop_test.csv
193.41,39.0,4.98,3.92,240,25,noop_test.csv
207.07,41.9,4.98,4.03,240,25,noop_test.csv
193.9,39.0,4.98,3.95,240,25,noop_test.csv
205.85,41.6,4.98,3.99,240,25,noop_test.csv
197.8,39.0,4.98,3.99,240,25,noop_test.csv
203.41,41.6,4.98,3.94,240,25,noop_test.csv
197.07,39.0,4.98,4.03,240,25,noop_test.csv
202.93,41.4,4.98,3.92,240,25,noop_test.csv
193.9,39.7,4.98,4.07,240,25,noop_test.csv
200.49,41.79,4.97,3.9,240,25,noop_test.csv
193.9,39.6,4.98,4.09,240,25,noop_test.csv
199.02,41.6,4.98,3.9,240,25,noop_test.csv
194.15,38.9,4.98,4.09,240,25,noop_test.csv
197.07,41.0,4.98,3.91,240,25,noop_test.csv
195.12,39.0,4.97,4.1,240,25,noop_test.csv
194.63,40.9,4.97,3.9,240,25,noop_test.csv
197.32,39.1,4.98,4.14,240,25,noop_test.csv
194.15,40.7,4.97,3.9,240,25,noop_test.csv
199.02,39.29,4.98,4.15,240,25,noop_test.csv
194.15,40.2,4.97,3.9,240,25,noop_test.csv
